    Spec/   Proof/    Exec/    Rust File
|   7 | Chap18     |   4,009 |     529 |   3,055 |     425 |   4,415 |    0.91 |
|   8 | Chap06     |   3,780 |     573 |   3,207 |       0 |   4,532 |    0.83 |
|   9 | Chap47     |   3,341 |     221 |   2,241 |     879 |   1,910 |    1.75 |
|  10 | Chap55     |   3,261 |     191 |   2,106 |     964 |   2,102 |    1.55 |
|  11 | Chap45     |   2,679 |     192 |   2,276 |     211 |   2,194 |    1.22 |
|  12 | vstdplus   |   2,495 |     417 |     298 |   1,780 |     655 |    3.81 |
|  13 | Chap40     |   2,403 |     304 |   1,717 |     382 |   1,582 |    1.52 |
|  14 | Chap38     |   2,266 |      72 |   2,064 |     130 |     957 |    2.37 |
|  15 | Chap19     |   2,234 |     276 |   1,631 |     327 |   2,307 |    0.97 |
|  16 | Chap65     |   1,621 |     200 |     454 |     967 |     857 |    1.89 |
|  17 | Chap26     |   1,370 |     159 |     700 |     511 |   1,276 |    1.07 |
|  18 | Chap36     |   1,195 |      45 |     802 |     348 |   1,035 |    1.15 |
|  19 | Chap62     |   1,170 |      50 |   1,120 |       0 |   1,324 |    0.88 |
|  20 | Chap51     |   1,136 |     226 |     790 |     120 |   1,608 |    0.71 |
|  21 | Chap05     |   1,119 |     271 |     746 |     102 |   1,171 |    0.96 |
|  22 | Chap35     |   1,109 |      36 |     933 |     140 |     570 |    1.95 |
|  23 | Chap28     |   1,094 |     148 |     470 |     476 |     781 |    1.40 |
|  24 | Chap54     |   1,034 |      64 |     538 |     432 |   1,338 |    0.77 |
|  25 | Chap53     |     942 |      14 |     928 |       0 |     959 |    0.98 |
|  26 | Chap27     |     777 |       0 |     260 |     517 |     389 |    2.00 |
|  27 | Chap50     |     712 |     260 |     452 |       0 |   1,429 |    0.50 |
|  28 | Chap23     |     615 |     206 |     329 |      80 |     521 |    1.18 |
|  29 | Chap56     |     603 |     187 |     416 |       0 |   1,629 |    0.37 |
|  30 | Chap21     |     552 |      20 |     332 |     200 |     551 |    1.00 |
|  31 | Chap59     |     420 |       0 |     420 |       0 |   1,152 |    0.36 |
|  32 | Chap49     |     346 |     140 |     206 |       0 |     919 |    0.38 |
|  33 | Chap17     |     229 |      59 |     170 |       0 |     221 |    1.04 |
|  34 | Chap44     |     206 |      15 |     190 |       1 |     222 |    0.93 |
|  35 | Chap66     |     185 |      25 |     160 |       0 |   1,130 |    0.16 |
|  36 | Chap57     |     160 |      18 |     132 |      10 |     323 |    0.50 |
|  37 | src        |     106 |      48 |      18 |      40 |      39 |    2.72 |
|  38 | Chap11     |      88 |       9 |      49 |      30 |     290 |    0.30 |
|  39 | Chap64     |      83 |       9 |      74 |       0 |     482 |    0.17 |
|  40 | Chap02     |      72 |       4 |      27 |      41 |      93 |    0.77 |
|  41 | Chap58     |      70 |       0 |      70 |       0 |     372 |    0.19 |
|  42 | Chap61     |      62 |      12 |      50 |       0 |     475 |    0.13 |
|  43 | Chap63     |      56 |       6 |      50 |       0 |     228 |    0.25 |
|  44 | arithmetic |      41 |       0 |       0 |      41 |       0 |       - |
|  45 | Chap03     |      36 |       9 |      27 |       0 |      47 |    0.77 |
|  46 | Chap12     |      11 |       1 |      10 |       0 |     122 |    0.09 |
|  47 | Chap30     |       6 |       6 |       0 |       0 |      36 |    0.17 |

